nom;disp_j;disp_h;lat_coor1;long_coor1;adr_num;adr_voie;disp_complt;date_instal;modele;dermnt;expt_siren;objectid;id;identifiant;gestionnaire;activite;quartier;type;echeance_pile;echeance_adulte;echeance_pediatrique
DAE-Marché Escudier;mardi|vendredi|dimanche;heures ouvrables;48.835811614990234;2.242281436920166;9;boulevard Jean-Jaurès;;2018-01-01;Zoll;2020-07-10;219200128;26;26;X17K976821;Ville de Boulogne-Billancourt;Économique;1;Etablissement Public;2022-01-01;2023-04-06;2021-10-26
DAE-Gymnase Paul Souriau;lundi|mardi|mercredi|jeudi|vendredi|samedi;heures ouvrables;48.8292354;2.250175;30;rue de Seine;batterie changée le 07/09/17;;Power heart G5;2020-07-10;219200128;19;19;D00000061425;Ville de Boulogne-Billancourt;Complexe sportif;4;Etablissement Public;2021-09-21;2022-04-28;2022-03-28
DAE-Maternelle Castéja;lundi|mardi|mercredi|jeudi|vendredi;heures ouvrables;48.83061218261719;2.2370848655700684;156;rue Castéja;;2019-01-01;Zoll;2020-07-10;219200128;2570;52;X19A104001;Ville de Boulogne-Billancourt;Ecole élémentaire;3;Etablissement Public;2023-01-01;2024-04-12;2021-02-02
DAE-Maternelle Sévres;lundi|mardi|mercredi|jeudi|vendredi;heures ouvrables;48.8259259;2.2003237;34;bis rue de Sèvres;;2019-01-01;Zoll;2020-07-10;219200128;2573;58;X19A106939;Ville de Boulogne-Billancourt;Ecole maternelle;2;Etablissement Public;2023-01-01;2024-04-12;2021-02-02
DAE-Elémentaire Fessard;lundi|mardi|mercredi|jeudi|vendredi;heures ouvrables;48.84360885620117;2.2387733459472656;34;rue Fessart;;2019-01-01;Zoll;2020-07-10;219200128;2563;59;X19A106940;Ville de Boulogne-Billancourt;Ecole élémentaire;6;Etablissement Public;2023-01-01;2024-04-12;2021-02-02
DAE-Elémentaire Thiers;lundi|mardi|mercredi|jeudi|vendredi;heures ouvrables;48.834242;2.250486;85;rue Thiers;;2019-01-01;Zoll;2020-07-10;219200128;2567;51;X19A103994;Ville de Boulogne-Billancourt;Ecole élémentaire;4;Etablissement Public;2023-01-01;2024-04-12;2021-02-02
DAE-Annexe Hôtel de Ville;lundi|mardi|mercredi|jeudi|vendredi;heures ouvrables;48.8354382;2.2415897;24 bis;avenue André-Morizet;;2018-01-01;Zoll;2020-07-10;219200128;1;1;X17K976789;Ville de Boulogne-Billancourt;Administration générale;5;Etablissement Public;2022-01-01;2023-04-06;2021-11-28
DAE-Carré Belle Feuille;mardi|mercredi|jeudi|vendredi|samedi;heures ouvrables;48.8361411;2.243845;60;rue de la Belle Feuille;;2010-01-01;Zoll;2020-07-10;219200128;4;4;X09E409268;Ville de Boulogne-Billancourt;Culture;5;Etablissement Public;2023-01-01;2024-04-12;
DAE-Espace Palissy;lundi|mardi|mercredi|jeudi|vendredi|samedi|dimanche;heures ouvrables;48.862725;2.287592;1;place Bernard-Palissy;;2018-01-01;Zoll;2020-07-10;219200128;9;9;X17K976717;Ville de Boulogne-Billancourt;Administration générale;1;Etablissement Public;2022-01-01;2023-04-06;2021-10-26
DAE-Gymnase Robert Doisneau;mercredi|samedi;heures ouvrables;48.8279464;2.2371863;18;allée Robert-Doisneau;batterie changée le 16/05/2017;2012-01-01;CR PLUS;2020-07-10;219200128;20;20;40377061;Ville de Boulogne-Billancourt;Salle de sport;4;Etablissement Public;2021-04-29;2021-09-02;2022-07-03
DAE-Marché de Billancourt;mercredi|samedi;heures ouvrables;48.83183802917297;2.2416641111076934;150;rue du vieux pont de sèvres;;2018-01-01;Zoll;2020-07-10;219200128;25;25;X17K976820;Ville de Boulogne-Billancourt;Économique;4;Etablissement Public;2022-01-01;2023-04-13;2021-11-28
DAE-Salle Constant-Lemaitre;lundi|mardi|mercredi|jeudi|vendredi|samedi;heures ouvrables;48.828646289994865;2.233923797613628;1229;rue du vieux pont de sèvres;;2017-01-01;CR PLUS;2020-07-10;219200128;30;30;42270008;Ville de Boulogne-Billancourt;Salle de sport;4;Etablissement Public;2021-03-08;2021-04-29;2021-09-02
DAE-Stade parc de billancourt;Lundi|Mardi|Mercredi|Jeudi|Vendredi|Samedi|Dimanche;heures ouvrables;48.8263028;2.2345557;2;allée georges askinazi;;2017-01-01;Power heart G5;2020-07-10;219200128;32;32;D00000053512;Ville de Boulogne-Billancourt;Terrain découvert;4;Etablissement Public;2021-06-23;2022-04-28;
DAE-Pont Renault;Lundi|Mardi|Mercredi|Jeudi|Vendredi|Samedi|Dimanche;heures ouvrables|heures de nuit|24h/24;48.8259742;2.232817;;pont Renault;;;;2020-07-10;219200128;38;994;;Decaux;Mobilier urbain;4;Mobilier Urbain;;;
DAE-Jaurès-Paris;Lundi|Mardi|Mercredi|Jeudi|Vendredi|Samedi|Dimanche;heures ouvrables|heures de nuit|24h/24;48.84212628193458;2.239527999054638;;;;;;2020-07-10;219200128;41;991;;Decaux;Station de métro;1;Mobilier Urbain;;;
DAE-Galliéni-Sèvres;Lundi|Mardi|Mercredi|Jeudi|Vendredi|Samedi|Dimanche;heures ouvrables|heures de nuit|24h/24;48.8284241;2.2309964;;;;;;2020-07-10;219200128;42;990;;Decaux;Station de métro;2;Mobilier Urbain;;;
DAE-Ecole élémentaire Point du Jour;Lundi|Mardi|Mercredi|Jeudi|Vendredi;heures ouvrables;48.828289;2.2454543;147;rue du Vieux Pont de Sèvres;;2017-01-01;Power heart G5;2020-07-10;219200128;641;33;D00000061570;Ville de Boulogne-Billancourt;Ecole élémentaire;4;Etablissement Public;2021-11-24;2022-04-28;2022-03-28
DAE-Élémentaire Denfert-Rochereau;Lundi|Mardi|Mercredi|Jeudi|Vendredi;heures ouvrables;48.8404922;2.2469508;92;rue Denfert Rochereau;;2018-01-01;Zoll;2020-07-10;219200128;1299;38;X17K974682;Ville de Boulogne-Billancourt;Ecole élémentaire;6;Etablissement Public;2022-01-01;2023-04-06;2021-10-26
DAE-Élémentaire Glacières;Lundi|Mardi|Mercredi|Jeudi|Vendredi;heures ouvrables;48.8309556;2.2435844;14;rue de Clamart;Déjà en place mais à remplacer;2018-01-01;Zoll;2020-07-10;219200128;1601;35;X18A988011;Ville de Boulogne-Billancourt;Ecole élémentaire;3;Etablissement Public;2022-01-01;2023-04-13;2021-11-28
DAE-Primaire Biodiversité;Lundi|Mardi|Mercredi|Jeudi|Vendredi;heures ouvrables;48.826931;2.2402756;12-14;traverse Jules Guesde;;2018-01-01;Zoll;2020-07-10;219200128;1605;49;X18A988090;Ville de Boulogne-Billancourt;Ecole primaire;3;Etablissement Public;2022-01-01;2023-04-13;2021-11-28
DAE-Élémentaire Sèvres;Lundi|Mardi|Mercredi|Jeudi|Vendredi;heures ouvrables;48.8361;2.2274005;36;rue de Sèvres;;2018-01-01;Zoll;2020-07-10;219200128;1605;43;X18A988084;Ville de Boulogne-Billancourt;Ecole maternelle;2;Etablissement Public;2022-01-01;2023-04-13;2021-11-16
DAE-Primaire Doisneau;Lundi|Mardi|Mercredi|Jeudi|Vendredi;heures ouvrables;48.8273623;2.2364187;24;allée Robert Doisneau;;2018-01-01;Zoll;2020-07-10;219200128;1605;48;X18A988085;Ville de Boulogne-Billancourt;Ecole primaire;3;Etablissement Public;2022-01-01;2023-04-13;2021-11-28
DAE-Maternelle Jean Guillon;Lundi|Mardi|Mercredi|Jeudi|Vendredi;heures ouvrables;48.8256481;2.2486093;16;avenue Pierre Grenier;;2018-01-01;Zoll;2020-07-10;219200128;1605;47;X18A988068;Ville de Boulogne-Billancourt;Ecole maternelle;4;Etablissement Public;2022-01-01;2023-04-13;2021-10-26
DAE-Elémentaire Seine;lundi|mardi|mercredi|jeudi|vendredi;heures ouvrables;48.8282739;2.2505982;14;rue de Seine;;2019-01-01;Zoll;2020-07-10;219200128;2569;56;X19A104130;Ville de Boulogne-Billancourt;Ecole maternelle;4;Etablissement Public;2023-01-01;2024-04-12;2021-02-02
DAE-Maternelle Billancourt;lundi|mardi|mercredi|jeudi|vendredi;heures ouvrables;48.8326518;2.237465;178;rue de Billancourt;;2019-01-01;Zoll;2020-07-10;219200128;2571;60;X19A106955;Ville de Boulogne-Billancourt;Ecole maternelle;2;Etablissement Public;2023-01-01;2024-04-12;2021-02-02
DAE-Centre Technique Municipal;jeudi|vendredi;heures ouvrables;43.3157202;5.3796424;70;avenue Edouard-Vaillant;;2018-01-01;Zoll;2020-07-10;219200128;6;6;X17J965754;Ville de Boulogne-Billancourt;CTM;5;Etablissement Public;2022-01-01;2023-04-06;
DAE-Espace Forum;lundi|mardi|mercredi|jeudi|vendredi|samedi;heures ouvrables;48.82881546020508;2.234844207763672;1674;allée du vieux pont de sèvres;;2010-01-01;CR PLUS;2020-07-10;219200128;7;7;40762777;Ville de Boulogne-Billancourt;Salle de sport;4;Etablissement Public;2021-03-08;2021-04-29;2021-09-02
DAE-Gymnase Abondances;lundi|mardi|mercredi|jeudi|vendredi;heures ouvrables;48.84437561035156;2.2298340797424316;48;rue des Abondances;remplacé le 28/02/17;2010-01-01;CR PLUS;2020-07-10;219200128;10;10;40763392;Ville de Boulogne-Billancourt;Salle de sport;1;Etablissement Public;2021-03-08;2021-03-08;
DAE-Gymnase Clamart;mardi|jeudi|vendredi|samedi;heures ouvrables;48.8308181;2.2437704;11;rue de Clamart;remplacé le 28/02/17;2010-01-01;LP 1000;2020-07-10;219200128;11;11;38518786;Ville de Boulogne-Billancourt;Salle de sport;4;Etablissement Public;2021-01-01;2021-03-08;2020-11-30
DAE-Gymnase Dôme;lundi|mardi|mercredi|jeudi|vendredi;heures ouvrables;48.8333527;2.251694;16-18;rue du Dôme;;2010-01-01;LP 1000;2020-07-10;219200128;14;14;38518785;Ville de Boulogne-Billancourt;Salle de sport;4;Etablissement Public;2021-01-01;2022-07-03;
DAE-Gymnase du COSEC;lundi|mardi|mercredi|jeudi|vendredi;heures ouvrables;48.8313181;2.2423286;4;rue Victor-Griffuelhes;batterie remplacée le 05/07:2017;2010-01-01;LP 1000;2020-07-10;219200128;15;15;38518780;Ville de Boulogne-Billancourt;Complexe sportif;4;Etablissement Public;2021-01-01;2021-03-08;2020-11-30
DAE-Gymnase Paris;lundi|mardi|mercredi|jeudi|vendredi;heures ouvrables;48.83959713475026;2.2490347781634465;14;rue de Paris;;2010-01-01;LP 1000;2020-07-10;219200128;17;17;38518787;Ville de Boulogne-Billancourt;Salle de sport;6;Etablissement Public;2023-01-01;2021-03-08;
DAE-Gymnase Voisin;lundi|mardi|mercredi|jeudi|vendredi;heures ouvrables;48.83253857026956;2.236057146024304;52;rue Gabriel et Charles Voisin;;2010-01-01;LP 1000;2020-07-10;219200128;21;21;38518788;Ville de Boulogne-Billancourt;Salle de sport;2;Etablissement Public;2021-01-01;2022-07-03;2021-02-09
DAE-Le Trapèze;mardi|mercredi|vendredi|samedi|dimanche;heures ouvrables;48.82795034823319;2.237418446024304;75;rue Marcel-Bontemps;;2012-01-01;CR PLUS;2020-07-10;219200128;23;23;40377043;Ville de Boulogne-Billancourt;Culture et animation;4;Etablissement Public;2021-04-29;2021-04-29;2021-02-09
